시설명,주소,전화번호,위도,경도,구
 강남동태찜, 도봉구 도봉로 564 (창동), 02-900-8040,37.65505,127.03915,도봉구
 그 고기집, 도봉구 삼양로146길 6 (쌍문동), 02-992-8479,37.65225,127.01301,도봉구
 금강산감자탕, 도봉구 도봉로 669, 02-3491-5401,37.66419,127.04226,도봉구
 놀부부대찌개, 도봉구 마들로 650 도봉월드 208호, 02-955-5644,37.66799,127.04705,도봉구
 대문한정식, 도봉구 시루봉로 139-6, 02-956-0843 ,37.66366,127.02753,도봉구
 도봉산 갈비, 도봉구 도봉로 915 (도봉동), 02-955-1177,37.68599,127.04568,도봉구
 도봉산 박대감, 도봉동 도봉로 919 지상12층, 02-955-8668,37.68008,127.04471,도봉구
 도쿄감자탕, 도봉구 마들로 650 도봉월드 210호, 02-6229-9797,37.66799,127.04705,도봉구
 독도아구찜, 도봉구 도봉로152길 23-6 (도봉동), 02-956-3305,37.6697,127.04532,도봉구
 뚱가부대찌개, 도봉구 도봉로 869 (도봉동), 02-3492-8822,37.68198,127.04539,도봉구
 뚱보칡냉면, 도봉구 도봉로110길 51 23층, 02-990-8063,37.66877,127.04707,도봉구
 명품한우 천둥소리, 도봉구 시루봉로 135, 02-3492-6677,37.6629,127.02737,도봉구
 설담재, 도봉구 도봉로 562 (창동), 02-998-0202,37.65477,127.03906,도봉구
 순두부마을, 도봉구 마들로 650, 02-956-7887,37.66799,127.04705,도봉구
 양촌리, 도봉구 방학로 102 (방학동), 02-954-7852,37.66306,127.04113,도봉구
 원조의정부 부대찌개, 도봉구 해등로 156 (쌍문동), 02-999-4466,37.65696,127.03906,도봉구
 유성집, 도봉구 도봉로180나길 56, 02-955-0550,37.6837518,127.0506689,도봉구
 장어가, 도봉동 도봉로 911, 02-956-1171,37.68008,127.04471,도봉구
 착한전복, 도봉구 노해로65길 7-20, 02-903-4455,37.65181,127.04505,도봉구
 채랑샤브샤브, 도봉구 도봉로 465 (쌍문동), 02-900-4001,37.64741,127.03357,도봉구
 청어진 동태찜, 도봉구 도봉로150길 28, 02-955-1554,37.6658832,127.0447078,도봉구
 최고집칼국수, 도봉구 덕릉로 270 (창동), 02-995-5333,37.64112,127.04092,도봉구
 콩사랑두부, 도봉구 도봉산4길 10, 02-955-6016,37.68778,127.04244,도봉구
 태림산채정식, 도봉구 노해로60길 32 (쌍문동), 02-998-5468  02-998-3735,37.64994,127.03423,도봉구
 통나무집, 도봉구 마들로11길 61 (창동), 02-997-5325,37.65345,127.04988,도봉구
 통영자갈치곰장어, 도봉구 노해로69길 15 (세정빌딩), 02-999-2588,37.6529434,127.0506023,도봉구
 하누소, 도봉구 노해로 327 (창동), 02-900-9900,37.65146,127.04478,도봉구
 하루방유황오리, 도봉구 노해로63나길 8, 02-991-5292,37.65399,127.04479,도봉구
 한우돈, 도봉구 덕릉로 261, 02-904-2236,37.6408085,127.0398202,도봉구
 해주곰탕, 도봉구 마들로 659 (방학동), 02-954-8081,37.66908,127.04593,도봉구
(주)남원추어탕,서울특별시 광진구 동일로 114 (화양동),02-498-8649,37.5426714,127.0646503,광진구
(주)장군갈비,서울특별시 광진구 용마산로 11 (중곡2동),02-457-3241,37.5547181,127.08812,광진구
가마솥도가니탕 장수옥,서울특별시 광진구 용마산로 124 (중곡4동),02-444-6888,37.56468,127.0869436,광진구
거보주,서울특별시 광진구 아차산로51길 24 (구의1동),02-456-2266,37.5380016,127.0851621,광진구
건국갈비,서울특별시 광진구 광나루로22가길18(화양동),02-2201-0018,37.5456713,127.0759066,광진구
광장동 가온,"서울특별시 광진구 아차산로78길 75 (광장동, 현대골든텔 106호)",02-3436-7100,37.551573,127.1109741,광진구
남원율천추어탕,"서울특별시 광진구 아차산로73길 48, 지하1층(광장동)",02-549-3066,37.5466931,127.1024213,광진구
냉면전문점이대팔,"서울특별시 광진구 아차산로 238, 1층 (자양4동)",02-499-0458,37.539935,127.0695705,광진구
대가식당,서울특별시 광진구 광나루로 596 (구의3동),02-456-1944,37.5419929,127.0943562,광진구
대갈집,서울특별시 광진구 능동로 49 (자양4동),02-463-2702,37.5358089,127.0684009,광진구
은행나무집,서울특별시 광진구 아차산로69길 20 (광장동),02-457-7100,37.5429115,127.0985331,광진구
